# file...... IEEE_13_house_passiveDR_transformer_power.csv
# date...... Thu Jun 11 17:40:01 2020
# user...... User
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-01 02:04:00 PDT,+99889.1,-48000,+94399.3,-47116.5,+64571.8,-49126.7,+99888.3,-48005.4,+94398.6,-47121.4,+64571.3,-49129.6,+0.815602,+5.40901
2000-08-01 02:05:00 PDT,+101065,-47589.8,+94283.7,-47153.1,+63434.6,-49458.1,+101064,-47595.3,+94283,-47158,+63434.2,-49460.9,+0.828605,+5.4957
2000-08-01 02:06:00 PDT,+99993.3,-47893.5,+93161.5,-47496.2,+63723.8,-49356.6,+99992.5,-47898.9,+93160.7,-47501,+63723.4,-49359.5,+0.816301,+5.41367
2000-08-01 02:07:00 PDT,+99707.1,-47969.5,+94525.6,-47036.5,+64044.4,-49260.7,+99706.3,-47974.9,+94524.9,-47041.4,+64044,-49263.6,+0.81301,+5.39173
2000-08-01 02:08:00 PDT,+99871.8,-47910.5,+95173.2,-46796.5,+63783.8,-49331.3,+99871,-47915.9,+95172.4,-46801.4,+63783.4,-49334.2,+0.814807,+5.40371
2000-08-01 02:09:00 PDT,+101205,-47486.7,+98234.1,-46953.8,+65449.8,-48810.2,+101204,-47492.2,+98233.3,-46959,+65449.3,-48813.2,+0.829835,+5.5039
2000-08-01 02:10:00 PDT,+96248.1,-47606.9,+97252.7,-47239.7,+65391.8,-48801.9,+96247.3,-47612,+97251.9,-47244.9,+65391.4,-48804.8,+0.765987,+5.07825
2000-08-01 02:11:00 PDT,+93992.3,-48316.4,+97241.2,-47199.2,+64840.7,-48966.2,+93991.5,-48321.3,+97240.5,-47204.3,+64840.3,-48969.1,+0.742155,+4.91937
2000-08-01 02:12:00 PDT,+93949.2,-48317.9,+96752.5,-47339,+65443,-48767.9,+93948.4,-48322.9,+96751.7,-47344.1,+65442.6,-48770.8,+0.741631,+4.91587
2000-08-01 02:13:00 PDT,+95812.3,-47702.8,+96279.3,-47443.4,+64097.9,-49172,+95811.5,-47707.9,+96278.6,-47448.5,+64097.5,-49174.9,+0.761067,+5.04544
2000-08-01 02:14:00 PDT,+99357.5,-46697.9,+97061.8,-47153.6,+64212,-49124.2,+99356.7,-46703.2,+97061,-47158.7,+64211.6,-49127.1,+0.800472,+5.30814
2000-08-01 02:15:00 PDT,+99504,-46639.5,+101124,-47113.6,+63802.5,-49231.4,+99503.2,-46644.9,+101123,-47119,+63802,-49234.2,+0.802036,+5.31857
2000-08-01 02:16:00 PDT,+101189,-46087.7,+96223.3,-47526.4,+68166.4,-49077.3,+101188,-46093.2,+96222.6,-47531.5,+68165.9,-49080.4,+0.820977,+5.44485
2000-08-01 02:17:00 PDT,+97539.9,-47095.5,+95105.3,-47855.2,+68336.1,-48997.6,+97539.1,-47100.7,+95104.6,-47860.2,+68335.6,-49000.7,+0.779314,+5.16709
2000-08-01 02:18:00 PDT,+97187.7,-47197.5,+95060.6,-47852.7,+68231.7,-49027.5,+97187,-47202.6,+95059.9,-47857.7,+68231.2,-49030.6,+0.775422,+5.14115
2000-08-01 02:19:00 PDT,+97038.6,-47261.1,+96839,-47299.9,+73643,-48564.2,+97037.8,-47266.3,+96838.2,-47305,+73642.5,-48567.6,+0.773907,+5.13104
2000-08-01 02:20:00 PDT,+101000,-47218.9,+96906.2,-47288.5,+74085.3,-48406.7,+100999,-47224.4,+96905.4,-47293.6,+74084.8,-48410.2,+0.825421,+5.47448
